sourcetype,tech_category,scope,security_classification,security_relevance,data_models,vendor,description,expanded_desc
azure:activity:Read,azure,"security, operational",CSPM,low,"Change.All_Changes, Data_Access.Data_Access",Microsoft,Azure Activity log - Read operations,Azure Activity log - read operations against resources. Useful for data-access audit and reconnaissance detection.
azure:activity:Recommendation,azure,operational,,low,,Microsoft,Azure Advisor recommendation events,"Azure Advisor recommendation events - cost, security, reliability, and performance recommendations."
azure:activity:ResourceHealth,azure,operational,,low,,Microsoft,Azure Resource Health events,Azure Resource Health events - per-resource availability changes (Available/Degraded/Unavailable/Unknown).
azure:activity:RouteDiagnosticLog,azure,operational,,low,,Microsoft,Azure route diagnostic log,Azure routing diagnostic log - effective route table changes and next-hop resolution events.
azure:activity:ServiceHealth,azure,operational,,low,,Microsoft,Azure Service Health events,"Azure Service Health events - service issues, planned maintenance, health advisories, and security advisories from the Azure platform."
azure:activity:StorageDelete,azure,"security, operational",,med,"Change.All_Changes, Endpoint.Filesystem",Microsoft,Azure Storage delete operations,Azure Storage delete operations - blob/file/queue/table delete activity for audit and DLP.
azure:activity:StorageRead,azure,"security, operational",,low,"Change.All_Changes, Data_Access.Data_Access, Endpoint.Filesystem",Microsoft,Azure Storage read operations,"Azure Storage read operations - blob/file/queue/table read activity, including SAS-token usage."
azure:activity:StorageWrite,azure,"security, operational",,med,"Change.All_Changes, Endpoint.Filesystem",Microsoft,Azure Storage write operations,Azure Storage write operations - blob/file/queue/table create and update activity.
azure:activity:TunnelDiagnosticLog,azure,operational,,low,,Microsoft,Azure VPN tunnel diagnostic log,"Azure VPN tunnel diagnostic log - tunnel up/down events, IPsec SA negotiation, traffic counters."
azure:activity:Write,azure,"security, operational",CSPM,high,Change.All_Changes,Microsoft,Azure Activity log - Write operations,"Azure Activity log - write operations against resources (create, update). High-value for change tracking and threat detection."
azure:aks,azure,"security, operational",CSPM,med,"Change.All_Changes, Authentication.Authentication",Microsoft,Azure Kubernetes Service logs,"Azure Kubernetes Service control-plane and add-on logs - API server audit, scheduler, controller manager, cluster autoscaler events."
azure:compute:disk,azure,operational,,low,Compute_Inventory.All_Inventory,Microsoft,Azure compute data (azure:compute:disk),"Azure managed disk inventory data - disk SKU, size, encryption state, attached VM."
azure:compute:snapshot,azure,operational,,low,Compute_Inventory.All_Inventory,Microsoft,Azure compute data (azure:compute:snapshot),"Azure managed disk snapshot inventory - snapshot source, size, creation time, encryption state."
azure:compute:vm,azure,operational,,low,Compute_Inventory.All_Inventory,Microsoft,Azure compute data (azure:compute:vm),"Azure virtual machine inventory - VM size, OS, power state, attached disks, network interfaces, tags."
azure:eventhub,azure,operational,,none,,Microsoft,Azure Event Hub ingestion logs,"Azure Event Hubs ingestion-side logs - producer connections, partition activity, throttling events."
azure:firewall,azure,security,FW,high,"Network_Traffic.All_Traffic, Network_Sessions.All_Sessions",Microsoft,Azure Firewall logs,"Azure Firewall logs - allowed/denied traffic, application-rule matches, network-rule matches, threat-intel hits, DNS proxy queries."
azure:frontdoor,azure,security,WAF,high,"Web.Web, Network_Traffic.All_Traffic",Microsoft,Azure Front Door WAF logs,"Azure Front Door access and WAF logs - HTTP request details, applied WAF rules, action (allow/block/log), latency, origin response."
azure:iot:hub,azure,"security, operational",,med,"Alerts.Alerts, Change.All_Changes",Microsoft,Azure IoT Hub device events,"Azure IoT Hub device events - device connect/disconnect, message routing, twin updates, direct method invocations."
azure:keyvault,azure,security,IAM,high,"Data_Access.All_Data_Access_Logs, Change.All_Changes",Microsoft,Azure Key Vault audit logs,"Azure Key Vault audit logs - secret/key/certificate access, vault administration, RBAC and access policy changes."
azure:metrics,azure,operational,,low,Performance.All_Performance,Microsoft,Azure resource metrics,"Azure resource platform metrics - per-resource numeric time-series (CPU, memory, network, storage, custom)."
azure:monitor,azure,operational,,none,Performance.All_Performance,Microsoft,Azure Monitor metrics,Azure Monitor metric stream - unified metric pipeline aggregating per-resource metrics across services.
azure:netflow,network,security,FW,high,Network_Traffic.All_Traffic,Microsoft,Azure NSG flow logs (netflow format),Azure NSG flow logs delivered in NetFlow format for cross-tool consumption.
azure:nsg:flowlogs,azure,"security, operational",FW,high,Network_Traffic.All_Traffic,Microsoft,Azure NSG flow logs,Azure NSG flow logs (alternate naming) - per-flow 5-tuple records of traffic evaluated by NSG rules; superseded by VNet flow logs in newer deployments.
azure:policy:compliance,azure,security,CSPM,med,Vulnerabilities.Vulnerabilities,Microsoft,Azure Policy compliance data,Azure Policy compliance results - resource-by-resource evaluation against policy assignments and initiatives.
azure:securityCenter:alert,azure,security,CSPM,high,Alerts.Alerts,Microsoft,Azure Security Center data,"Microsoft Defender for Cloud (formerly Azure Security Center) alert events - threats detected across Azure, AWS, GCP, and hybrid workloads."
azure:securityCenter:task,azure,security,CSPM,high,Alerts.Alerts,Microsoft,Azure Security Center data,Microsoft Defender for Cloud security tasks - recommended remediations and their lifecycle state (open/in-progress/resolved).
azure:storage:blob,azure,"security, operational",CSPM,med,Data_Access.All_Data_Access_Logs,Microsoft,Azure Blob Storage access logs,"Azure Blob Storage access logs - read/write/delete operations, requester identity, status, latency, bytes transferred."
azure:vnet,azure,operational,,low,"Change.All_Changes, Compute_Inventory.Network",Microsoft,Azure Virtual Network config data,"Azure Virtual Network configuration data - VNet definitions, address spaces, subnets, peering relationships."
azure:vnet:nsg,azure,security,"NDR, NTA",high,"Change.All_Changes, Compute_Inventory.Network, Network_Traffic.All_Traffic",Microsoft,Azure Network Security Group (NSG) Flow Logs,Captures detailed telemetry and metadata about ingress and egress IP traffic flowing through your Azure Virtual Networks (VNets) and subnets.
azure:vnet:ip:public,azure,operational,,low,"Change.All_Changes, Compute_Inventory.Network",Microsoft,Azure public IP address inventory,"Azure public IP address inventory - allocation, SKU, attached resource, DNS settings."
azure:vnet:nic,azure,operational,,low,"Change.All_Changes, Compute_Inventory.Network",Microsoft,Azure NIC inventory data,"Azure network interface inventory - NIC name, attached VM, private/public IP assignments, NSG association."
bandwidth,linux,operational,,none,Performance.All_Performance,,System performance metrics,Generic bandwidth metric stream - per-interface throughput data captured by scripted inputs. Performance telemetry only.
barracuda,network,security,NGFW,high,"Network_Traffic.All_Traffic, Intrusion_Detection.IDS_Attacks",Barracuda,Barracuda firewall logs,"Barracuda CloudGen Firewall and WAF log - traffic, IPS, AV, web application security events."
bash_history,linux,security,,med,Endpoint.Processes,,Command history logs,Per-user shell command history (.bash_history) - timestamped command line entries when HISTTIMEFORMAT is set. Forensic source for interactive activity reconstruction.
beyondtrust:rs:session:cef,security,security,PAM,high,"Authentication.Authentication, Change.All_Changes, Network_Sessions.All_Sessions",BeyondTrust,BeyondTrust remote support session logs,"BeyondTrust Remote Support session log in CEF format - per-session attendee, target, action, and chat transcript metadata. PAM session-monitoring source."
bigfix,security,security,EDR,med,"Endpoint.Processes, Updates.All_Updates",HCL,HCL BigFix endpoint management logs,"HCL BigFix (formerly IBM) endpoint management log - relevance evaluation, action execution, patch application activity."
bind,network,security,,med,Network_Resolution.DNS,ISC,BIND DNS server logs,"ISC BIND DNS server log - query, response, recursion, and error events. Feeds Network_Resolution.DNS when query logging is enabled."
bitbucket,app,operational,,med,Change.All_Changes,Atlassian,Bitbucket version control logs,"Atlassian Bitbucket access/audit log - repository activity, authentication, admin operations. Feeds Web/Change data models."
bitdefender,security,security,EPP,high,Malware.Malware_Operations,Bitdefender,Bitdefender antivirus logs,"Bitdefender GravityZone endpoint log - threat detections, scan tasks, HVI events. Feeds the Malware and Endpoint data models."
bluecoat,security,security,SWG,high,"Web.Proxy, Network_Traffic.All_Traffic",Symantec,Blue Coat proxy logs,"Blue Coat / Symantec ProxySG access log - HTTP/HTTPS request URL, category, action, and threat verdict. Feeds the Web data model."
boot,linux,operational,,low,,Linux,Linux kernel/boot messages,Linux /var/log/boot.log entries - early userspace and service initialization messages captured during boot. Operational diagnostic data.
box,security,security,CASB,med,"Change.All_Changes, Authentication.Authentication",Box,Box cloud storage logs,"Box Enterprise event log - file/folder access, sharing, login, admin activity. CASB-grade visibility for the Box platform."
bro,network,security,IDS,high,"Intrusion_Detection.IDS_Attacks, Network_Traffic.All_Traffic",Zeek,Bro (Zeek) network security monitor logs,"Bro / Zeek log umbrella - conn/dns/http/ssl/files/notice and other per-protocol files. Feeds Network_Traffic, Network_Resolution, Web, IDS data models."
burpsuite,security,security,PTS,med,Vulnerabilities.Vulnerabilities,PortSwigger,Burp Suite web app testing logs,PortSwigger Burp Suite log - intruder/repeater/scanner activity captured during web application security testing.
carbonblack,security,security,EDR,high,"Endpoint.Processes, Malware.Malware_Operations",VMware,Carbon Black EDR logs,VMware Carbon Black (Cb Response/EDR/App Control) logs - endpoint process telemetry and detection events. Feeds Endpoint and Malware data models.
ccure:event,security,security,,med,Authentication.Authentication,Software House,CCure 9000 access control logs,"Software House C-CURE 9000 physical access control event - cardholder action, alarm, door, and admin events."
cdpcli,app,operational,,low,,,CDP CLI logs,Cloudera Data Platform CLI command output - operational logs from cdpcli interactions with the CDP control plane.
cfn-init,aws,operational,,low,,Amazon Web Services,AWS CloudFormation init logs,"AWS CloudFormation cfn-init helper script log written during EC2 instance bootstrapping - packages installed, services started, files created, commands run from instance metadata."
