description,"fail_code"
"The object does not exist.",0xC0220008
"An object with that GUID or LUID already exists.",0xC0220009
"The object is referenced by other objects and cannot be deleted.",0xC022000A
"The call is not allowed from within a dynamic session.",0xC022000B
"The call was made from the wrong session and cannot be completed.",0xC022000C
"The call must be made from within an explicit transaction.",0xC022000D
"The call is not allowed from within an explicit transaction.",0xC022000E
"The explicit transaction has been forcibly canceled.",0xC022000F
"The session has been canceled.",0xC0220010
"The call is not allowed from within a read-only transaction.",0xC0220011
"The call timed out while waiting to acquire the transaction lock.",0xC0220012
"The collection of network diagnostic events is disabled.",0xC0220013
"The operation is not supported by the specified layer.",0xC0220014
"The call is allowed for kernel-mode callers only.",0xC0220015
"The call tried to associate two objects with incompatible lifetimes.",0xC0220016
"The object is built-in and cannot be deleted.",0xC0220017
"The maximum number of boot-time filters has been reached.",0xC0220018
"The maximum number of callouts has been reached.",0xC0220018
"A notification could not be delivered because a message queue has reached maximum capacity.",0xC0220019
"The traffic parameters do not match those for the security association context.",0xC022001A
"The call is not allowed for the current security association state.",0xC022001B
"A required pointer is null.",0xC022001C
"An enumerator is not valid.",0xC022001D
"The flags field contains an invalid value.",0xC022001E
"A network mask is not valid.",0xC022001F
"An FWP_RANGE is not valid.",0xC0220020
"The time interval is not valid.",0xC0220021
"An array that must contain at least one element has a zero length.",0xC0220022
"The displayData.name field cannot be null.",0xC0220023
"The action type is not one of the allowed action types for a filter.",0xC0220024
"The filter weight is not valid.",0xC0220025
"A filter condition contains a match type that is not compatible with the operands.",0xC0220026
"An FWP_VALUE or FWPM_CONDITION_VALUE is of the wrong type.",0xC0220027
"An integer value is outside the allowed range.",0xC0220028
"A reserved field is nonzero.",0xC0220029
"A filter cannot contain multiple conditions operating on a single field.",0xC022002A
"A policy cannot contain the same keying module more than once.",0xC022002B
"The action type is not compatible with the layer.",0xC022002C
"The action type is not compatible with the sublayer.",0xC022002D
"The raw context or the provider context is not compatible with the layer.",0xC022002E
"The raw context or the provider context is not compatible with the callout.",0xC022002F
"The authentication method is not compatible with the policy type.",0xC0220030
"The Diffie-Hellman group is not compatible with the policy type.",0xC0220031
"An IKE policy cannot contain an Extended Mode policy.",0xC0220032
"The enumeration template or subscription will never match any objects.",0xC0220033
"The provider context is of the wrong type.",0xC0220034
"The parameter is incorrect.",0xC0220035
"The maximum number of sublayers has been reached.",0xC0220036
"The notification function for a callout returned an error.",0xC0220037
"The IPsec authentication configuration is not compatible with the authentication type.",0xC0220038
"The IPsec cipher configuration is not compatible with the cipher type.",0xC0220039
"A policy cannot contain the same auth method more than once.",0xC022003C
"The TCP/IP stack is not ready.",0xC0220100
"The injection handle is being closed by another thread.",0xC0220101
"The injection handle is stale.",0xC0220102
"The classify cannot be pended.",0xC0220103
"The binding to the network interface is being closed.",0xC0230002
"An invalid version was specified.",0xC0230004
"An invalid characteristics table was used.",0xC0230005
"Failed to find the network interface or the network interface is not ready.",0xC0230006
"Failed to open the network interface.",0xC0230007
"The network interface has encountered an internal unrecoverable failure.",0xC0230008
"The multicast list on the network interface is full.",0xC0230009
"An attempt was made to add a duplicate multicast address to the list.",0xC023000A
"At attempt was made to remove a multicast address that was never added.",0xC023000B
"The network interface aborted the request.",0xC023000C
"The network interface cannot process the request because it is being reset.",0xC023000D
"An attempt was made to send an invalid packet on a network interface.",0xC023000F
"The specified request is not a valid operation for the target device.",0xC0230010
"The network interface is not ready to complete this operation.",0xC0230011
"The length of the buffer submitted for this operation is not valid.",0xC0230014
"The data used for this operation is not valid.",0xC0230015
"The length of the submitted buffer for this operation is too small.",0xC0230016
"The network interface does not support this object identifier.",0xC0230017
"The network interface has been removed.",0xC0230018
"The network interface does not support this media type.",0xC0230019
"An attempt was made to remove a token ring group address that is in use by other components.",0xC023001A
"An attempt was made to map a file that cannot be found.",0xC023001B
"An error occurred while NDIS tried to map the file.",0xC023001C
"An attempt was made to map a file that is already mapped.",0xC023001D
"An attempt to allocate a hardware resource failed because the resource is used by another component.",0xC023001E
"The I/O operation failed because the network media is disconnected or the wireless access point is out of range.",0xC023001F
"The network address used in the request is invalid.",0xC0230022
"The offload operation on the network interface has been paused.",0xC023002A
"The network interface was not found.",0xC023002B
"The revision number specified in the structure is not supported.",0xC023002C
"The specified port does not exist on this network interface.",0xC023002D
"The current state of the specified port on this network interface does not support the requested operation.",0xC023002E
"The miniport adapter is in a lower power state.",0xC023002F
"The network interface does not support this request.",0xC02300BB
"The TCP connection is not offloadable because of a local policy setting.",0xC023100F
"The TCP connection is not offloadable by the Chimney offload target.",0xC0231012
"The IP Path object is not in an offloadable state.",0xC0231013
"The wireless LAN interface is in auto-configuration mode and does not support the requested parameter change operation.",0xC0232000
"The wireless LAN interface is busy and cannot perform the requested operation.",0xC0232001
"The wireless LAN interface is power down and does not support the requested operation.",0xC0232002
"The list of wake on LAN patterns is full.",0xC0232003
"The list of low power protocol offloads is full.",0xC0232004
"The SPI in the packet does not match a valid IPsec SA.",0xC0360001
"The packet was received on an IPsec SA whose lifetime has expired.",0xC0360002
"The packet was received on an IPsec SA that does not match the packet characteristics.",0xC0360003
"The packet sequence number replay check failed.",0xC0360004
"The IPsec header and/or trailer in the packet is invalid.",0xC0360005
"The IPsec integrity check failed.",0xC0360006
"IPsec dropped a clear text packet.",0xC0360007
"IPsec dropped an incoming ESP packet in authenticated firewall mode.  This drop is benign.",0xC0360008
"IPsec dropped a packet due to DOS throttle.",0xC0360009
"IPsec Dos Protection matched an explicit block rule.",0xC0368000
"IPsec Dos Protection received an IPsec specific multicast packet which is not allowed.",0xC0368001
"IPsec Dos Protection received an incorrectly formatted packet.",0xC0368002
"IPsec Dos Protection failed to lookup state.",0xC0368003
"IPsec Dos Protection failed to create state because there are already maximum number of entries allowed by policy.",0xC0368004
"IPsec Dos Protection received an IPsec negotiation packet for a keying module which is not allowed by policy.",0xC0368005
"IPsec Dos Protection failed to create per internal IP ratelimit queue because there is already maximum number of queues allowed by policy.",0xC0368006
"The system does not support mirrored volumes.",0xC038005B
"The system does not support RAID-5 volumes.",0xC038005C
"A virtual disk support provider for the specified file was not found.",0xC03A0014
"The specified disk is not a virtual disk.",0xC03A0015
"The chain of virtual hard disks is inaccessible. The process has not been granted access rights to the parent virtual hard disk for the differencing disk.",0xC03A0016
"The chain of virtual hard disks is corrupted. There is a mismatch in the virtual sizes of the parent virtual hard disk and differencing disk.",0xC03A0017
"The chain of virtual hard disks is corrupted. A differencing disk is indicated in its own parent chain.",0xC03A0018
"The chain of virtual hard disks is inaccessible. There was an error opening a virtual hard disk further up the chain.",0xC03A0019
